Country,Language Name,Language Code,Population Group,Language Vitality,Scripture,Active Translation,Year Scripture Published
Pakistan,Mankiyali,nlm,1 - 999,In_Trouble,,Not Shown,
Pakistan,Memoni,mby, ,In_Trouble,,Not Shown,
Bhutan,Brokkat,bro,1 - 999,In_Trouble,,Not Shown,
Morocco,"Tamazight, Standard Moroccan",zgh, ,Institutional,,Not Shown,
Bhutan,Olekha,ole,1 - 999,In_Trouble,,Not Shown,
Bhutan,Lunanakha,luk,1 - 999,In_Trouble,,Not Shown,
Iran,"Taromi, Upper",tov, ,In_Trouble,,Not Shown,
Iran,Maraghei,vmh, ,In_Trouble,,Not Shown,
Iran,Neo-Mandaic,mid,1 - 999,Dying,,Not Shown,
Iran,Qahveh Khaneh Sign Language,IR43,1 - 999,Dying,,Not Shown,
Iran,Razajerdi,rat, ,In_Trouble,,Not Shown,
Iran,Rudbari,rdb, ,In_Trouble,,Not Shown,
Iran,Sadat Tawaher Sign Language,IR41,1 - 999,Vigorous,,Not Shown,
Iran,Senaya,syn,1 - 999,Dying,,Not Shown,
Iran,Shahmirzadi,srz, ,Vigorous,,Not Shown,
Iran,Shahrudi,shm, ,In_Trouble,,Not Shown,
Iran,Gozarkhani,goz, ,In_Trouble,,Not Shown,
Iran,Kabatei,xkp, ,In_Trouble,,Not Shown,
Iran,Kajali,xkj, ,In_Trouble,,Not Shown,
Iran,Kho'ini,xkc, ,In_Trouble,,Not Shown,
Iran,Koresh-e Rostam,okh, ,In_Trouble,,Not Shown,
Iran,Koroshi,ktl,1 - 999,Dying,,Not Shown,
Iran,Eshtehardi,esh, ,In_Trouble,,Not Shown,
Iran,Alviri-Vidari,avd, ,In_Trouble,,Not Shown,
Iran,Dezfuli,def, ,Dying,,Not Shown,
